time,value
h  1,-2.26E+04
m 31,-2.03E+04
m 32,-2.35E+04
m 33,-2.57E+04
m 34,-2.09E+04
m 35,-1.78E+04
m 36,-2.32E+04
m 37,-2.77E+04
m 38,-2.93E+04
m 39,-2.85E+04
m 40,-2.54E+04
Sat,-2.46E+04
Jul,-2.09E+04
3,-1.89E+04
2004,-2.20E+04
d185,-2.53E+04
JD 2,-2.52E+04
4531,-2.34E+04
89.5,-2.28E+04
68,-2.34E+04
h  1,-2.50E+04
m 51,-2.61E+04
m 52,-2.09E+04
m 53,-2.00E+04
m 54,-2.53E+04
m 55,-2.84E+04
m 56,-2.78E+04
m 57,-2.89E+04
m 58,-3.00E+04
m 59,-2.77E+04
m  0,-2.20E+04
Sat,-1.93E+04
Jul,-1.97E+04
3,-2.14E+04
2004,-2.21E+04
d185,-2.34E+04
JD 2,-2.22E+04
4531,-2.32E+04
89.5,-2.48E+04
68,-2.22E+04
h  2,-1.96E+04
m 11,-2.17E+04
m 12,-2.42E+04
m 13,-2.61E+04
m 14,-2.79E+04
m 15,-2.62E+04
m 16,-2.82E+04
m 17,-2.90E+04
m 18,-2.41E+04
m 19,-1.95E+04
m 20,-1.82E+04
Sat,-2.01E+04
Jul,-2.35E+04
3,-2.69E+04
2004,-2.35E+04
d185,-2.33E+04
JD 2,-2.87E+04
4531,-3.03E+04
89.5,-2.67E+04
68,-2.17E+04
h  2,-1.97E+04
m 31,-1.84E+04
m 32,-2.13E+04
m 33,-2.54E+04
m 34,-3.00E+04
m 35,-2.72E+04
m 36,-2.23E+04
m 37,-2.22E+04
m 38,-2.47E+04
m 39,-2.42E+04
m 40,-2.37E+04
Sat,-2.35E+04
Jul,-2.05E+04
3,-2.09E+04
2004,-2.12E+04
d185,-2.28E+04
JD 2,-2.74E+04
4531,-2.60E+04
89.5,-2.18E+04
68,-1.95E+04
h  2,-2.23E+04
m 51,-2.16E+04
m 52,-1.77E+04
m 53,-1.90E+04
m 54,-1.88E+04
m 55,-1.94E+04
m 56,-1.98E+04
m 57,-2.22E+04
m 58,-2.40E+04
m 59,-2.31E+04
m  0,-2.16E+04
Sat,-1.94E+04
Jul,-2.06E+04
3,-2.13E+04
2004,-1.83E+04
d185,-1.99E+04
JD 2,-2.25E+04
4531,-2.19E+04
89.5,-2.19E+04
68,-2.05E+04
h  3,-2.13E+04
m 11,-2.37E+04
m 12,-2.42E+04
m 13,-1.87E+04
m 14,-1.52E+04
m 15,-1.64E+04
m 16,-1.89E+04
m 17,-2.05E+04
m 18,-2.20E+04
m 19,-2.24E+04
m 20,-2.13E+04
Sat,-1.89E+04
Jul,-1.61E+04
3,-1.58E+04
2004,-1.73E+04
d185,-1.75E+04
JD 2,-1.97E+04
4531,-1.95E+04
89.5,-1.77E+04
68,-1.50E+04
h  3,-1.24E+04
m 31,-1.35E+04
m 32,-1.59E+04
m 33,-1.76E+04
m 34,-1.58E+04
m 35,-1.42E+04
m 36,-1.45E+04
m 37,-1.27E+04
m 38,-1.12E+04
m 39,-1.49E+04
m 40,-1.62E+04
Sat,-1.54E+04
Jul,-1.29E+04
3,-1.31E+04
2004,-1.49E+04
d185,-1.31E+04
JD 2,-1.40E+04
4531,-1.41E+04
89.5,-1.14E+04
68,-1.28E+04
h  3,-1.68E+04
m 51,-1.86E+04
m 52,-1.92E+04
m 53,-1.68E+04
m 54,-1.02E+04
m 55,-8.88E+03
m 56,-8.66E+03
m 57,-6.22E+03
m 58,-7.25E+03
m 59,-1.37E+04
m  0,-1.35E+04
Sat,-9.21E+03
Jul,-6.79E+03
3,-2.85E+03
2004,-4.24E+03
d185,-6.99E+03
JD 2,-8.64E+03
4531,-8.66E+03
89.5,-9.77E+03
68,-8.40E+03
h  4,-7.34E+03
m 11,-1.08E+04
m 12,-1.21E+04
m 13,-9.20E+03
m 14,-4.24E+03
m 15,3.71E+02
m 16,1.13E+03
m 17,1.79E+03
m 18,1.64E+03
m 19,-2.74E+03
m 20,-9.90E+03
Sat,-1.40E+04
Jul,-1.29E+04
3,-7.72E+03
2004,-1.42E+03
d185,8.96E+02
JD 2,6.04E+02
4531,5.05E+02
89.5,-3.65E+03
68,-8.91E+03
h  4,-4.49E+03
m 31,-2.12E+02
m 32,1.87E+02
m 33,5.50E+02
m 34,1.35E+03
m 35,9.25E+02
m 36,-8.06E+02
m 37,-5.44E+03
m 38,-5.78E+03
m 39,-4.40E+03
m 40,-4.65E+03
Sat,-2.76E+03
Jul,-7.18E+02
3,1.36E+03
2004,1.87E+03
d185,-1.60E+02
JD 2,7.33E+02
4531,3.18E+03
89.5,2.67E+03
68,1.29E+03
h  4,-4.83E+02
m 51,-2.93E+02
m 52,4.15E+03
m 53,2.92E+03
m 54,2.80E+03
m 55,1.73E+03
m 56,-1.99E+03
m 57,-1.08E+03
m 58,3.17E+03
m 59,2.50E+03
m  0,-5.51E+03
Sat,-6.16E+03
Jul,1.92E+03
3,9.39E+03
2004,1.00E+04
d185,7.56E+03
JD 2,5.45E+03
4531,3.52E+03
89.5,4.74E+03
68,6.57E+03
h  5,4.14E+03
m 11,-9.16E+02
m 12,-1.22E+03
m 13,2.32E+03
m 14,4.13E+03
m 15,9.86E+03
m 16,1.18E+04
m 17,1.03E+04
m 18,1.09E+04
m 19,1.10E+04
m 20,1.06E+04
Sat,8.91E+03
Jul,5.98E+03
3,4.43E+03
2004,5.91E+03
d185,1.24E+04
JD 2,1.59E+04
4531,1.54E+04
89.5,1.66E+04
68,1.42E+04
h  5,7.53E+03
m 31,6.35E+03
m 32,7.16E+03
m 33,1.30E+04
m 34,1.67E+04
m 35,1.29E+04
m 36,7.56E+03
m 37,3.57E+03
m 38,9.79E+03
m 39,1.33E+04
m 40,1.80E+04
Sat,1.88E+04
Jul,1.42E+04
3,1.25E+04
2004,1.41E+04
d185,1.80E+04
JD 2,2.12E+04
4531,1.79E+04
89.5,1.66E+04
68,1.68E+04
h  5,1.19E+04
